epoch,train_loss,validation_loss,validation_macro_f1
1,0.40574801556086904,0.388231924235426,0.8841550990225023
2,0.17640884282068658,0.13659736918692558,0.9578378302270973
3,0.12861771078028048,1.2557301079200593,0.7733452959972297
4,0.15678925858097956,0.17710582724470175,0.9518650130063172
5,0.09150315732933724,0.41344836255572487,0.9148622524236906
6,0.10147600913456259,0.16367132379519228,0.9605611601513241
7,0.07561675828949103,0.2687555283110663,0.9153239169888739
8,0.07255019113689126,0.18653446860266049,0.9588963059199367
9,0.04778060959980477,0.20355574786663055,0.9456671449309897
10,0.03521898271068584,0.17305314037578784,0.9604703334106909
11,0.03536234344080021,0.20456420171339781,0.9560223670890711
