epoch,train_loss,validation_loss,validation_macro_f1
1,0.3305641359766305,0.2521896693880195,0.804831185809506
2,0.20308628137475898,0.1712954979858651,0.8976177846892045
3,0.15587168504938267,0.15772963744520352,0.9069457073621954
4,0.1448021199901998,0.1669031699366917,0.909228583588188
5,0.13160332825166907,0.15425195717653692,0.9195442273660861
6,0.1004287111486903,0.16531315924513418,0.9156305586405541
7,0.13565580736933144,0.16607172264168593,0.9251816489521407
8,0.10034523970627422,0.1451568329176366,0.9312564234326824
9,0.10301118557579923,0.15559025809464866,0.9363633588971553
10,0.09438720163975248,0.18539515364643755,0.925551857803379
11,0.07270448380561394,0.14790960021366348,0.9429629350205282
12,0.05997335946320357,0.15713844709838462,0.9463704024410357
13,0.051345134484086466,0.22243609234986716,0.9411888078554744
14,0.04684967079971226,0.18578835611311806,0.9450160301866034
15,0.04876324343223067,0.1637437552805768,0.9507346787165997
16,0.058538145814844206,0.14438997949196014,0.935270132517839
17,0.06413640656949757,0.22047973902809698,0.9160156552739673
18,0.06512625157531803,0.1406448096135594,0.9340595578556651
19,0.04881499195355165,0.22863408350786626,0.920840724448956
20,0.039334000908005734,0.18431605744046092,0.9312104497894617
