method,runs,exact_match_accuracy_mean,exact_match_accuracy_std,hamming_loss_mean,hamming_loss_std,micro_f1_mean,micro_f1_std,macro_f1_mean,macro_f1_std,surface_crack_f1_mean,surface_crack_f1_std,delamination_f1_mean,delamination_f1_std,pinhole_f1_mean,pinhole_f1_std
oversampling,5,0.9359999999999999,0.00983192080250173,0.023111111111111082,0.003370166864022877,0.9722765919381662,0.003941181528674576,0.9498134413010213,0.010589382374034673,0.9861975133944663,0.002024278811323358,0.9268334329377617,0.03147898732996115,0.9364093775708364,0.019808206807126427
vae_augmented,5,0.932,0.012605113600792738,0.02644444444444442,0.005632796380282918,0.9680285600936125,0.006861662508781229,0.9391078816246781,0.01418062328952886,0.9853954967683956,0.0037463668129781107,0.9082106708600742,0.030591779044688426,0.9237174772455641,0.01769247194987202
gan_augmented,5,0.9359999999999999,0.0068313005106397295,0.02599999999999996,0.003201080064641761,0.9685617244380502,0.003975600782021432,0.9385569283318566,0.009952803855709309,0.9854694899082468,0.0037176202667406136,0.9047837066371415,0.026267775079851292,0.9254175884501817,0.011189634667826113
vae_oversampling,5,0.9446666666666668,0.012823589374447601,0.023333333333333282,0.004581228472908497,0.9719933414239155,0.005392587531697657,0.9372286772935171,0.00636450562386899,0.9898273421916363,0.002466711390468574,0.8880567375886524,0.017715195525520408,0.9338019521002625,0.024352699122786297
baseline,5,0.9339999999999999,0.005962847939999408,0.02599999999999996,0.0035659570079735934,0.9686553699084388,0.004464386703028074,0.9364380453942107,0.015132066993740251,0.9872546413484585,0.003427621779669304,0.9003952650242487,0.042701105692189115,0.9216642298099252,0.009347757221391808
weighted,5,0.908,0.020493901531919215,0.03422222222222218,0.006638830776128732,0.9588023868100739,0.00831717984813763,0.9349117768705482,0.008643106328858327,0.974331720368135,0.00937322648615938,0.9122700156985871,0.02116379625197325,0.9181335945449224,0.010616172694427798
