comparison,mean_macro_f1_difference,difference_std,bootstrap_ci_95_lower,bootstrap_ci_95_upper,oversampling_wins,ties,other_method_wins,exact_permutation_pvalue,holm_adjusted_pvalue
Oversampling - Weighted BCE,0.014901664430473204,0.017022927589664536,0.003329684468655314,0.02986750720617697,5,0,0,0.0625,0.3125
Oversampling - Baseline,0.01337539590681056,0.01578908690742946,0.001124756163855678,0.025526486528384053,4,0,1,0.1875,0.5625
Oversampling - VAE + Oversampling,0.012584764007504235,0.014341751030968313,0.0007356924405002019,0.02317897177955408,4,0,1,0.1875,0.5625
Oversampling - GAN Augmentation,0.01125651296916479,0.015212227340224472,-0.0027845728619051435,0.02095670949436914,4,0,1,0.125,0.5
Oversampling - VAE Augmentation,0.010705559676343323,0.01821546061593688,-0.00390593835040558,0.025443615563760423,4,0,1,0.3125,0.5625
