epoch,train_loss,validation_loss,validation_macro_f1
1,0.24122161928289187,0.24570028513472603,0.8074368194985516
2,0.10836769856081276,0.11571689749395611,0.9455305745628326
3,0.07418403084218224,0.13946553018708893,0.9413360259760829
4,0.0691549117297073,0.22104490217783593,0.9147995176718523
5,0.0702872055862161,0.17959842549649296,0.9049827422696262
6,0.059435742086199866,0.16239449154856977,0.945317338404896
7,0.02815981295284476,0.12889149725831897,0.9597406930740263
8,0.02158553426352863,0.13341090265686148,0.9502388199392157
9,0.040990127217091485,0.19808406940359152,0.910853850055302
10,0.06491525273916329,0.3475255421455333,0.914122088229231
11,0.03837645191424145,0.13572172988329503,0.9611500573872691
12,0.028893973532114835,0.1128733211400493,0.9628776463125757
13,0.021530166421400373,0.17664017622044545,0.9445613214897928
14,0.014819698987611714,0.17370675395656104,0.9199109275132304
15,0.033041578936573376,0.15761631549588892,0.9455535725502803
16,0.02371984030227273,0.13676846718156574,0.9585173529002642
17,0.017860546688278436,0.12146973353348031,0.956044651897729
