Model,Exact Match Accuracy,Hamming Loss,Micro F1,Macro F1,Surface Crack F1,Delamination F1,Pinhole F1
Baseline,0.93,0.0277777777777777,0.9664429530201344,0.9291817941299468,0.9855595667870036,0.88,0.9219858156028368
Weighted BCE,0.88,0.0455555555555555,0.9458388375165124,0.9128537692012572,0.9726775956284152,0.8979591836734694,0.8679245283018868
Oversampling,0.9233333333333332,0.0277777777777777,0.9662618083670717,0.936189333889584,0.9816176470588236,0.8936170212765957,0.9333333333333332
VAE Augmentation,0.9033333333333332,0.0366666666666666,0.9544827586206897,0.8815802264249134,0.9759704251386322,0.7317073170731707,0.9370629370629372
GAN Augmentation,0.9266666666666666,0.0288888888888888,0.9646739130434784,0.8847022327547925,0.9908925318761383,0.7317073170731707,0.9315068493150684
