epoch,train_loss,validation_loss,validation_macro_f1
1,0.24074341584287004,0.2789425084133022,0.9181839402427637
2,0.09258704469430788,0.19493632166590913,0.9117919389978214
3,0.0528915400207241,0.17808954506520405,0.907665747733029
4,0.0494049710586558,0.18821217928895886,0.9214132272955803
5,0.041698019007246886,0.11462722343719559,0.9400423671946413
6,0.022550772505001235,0.10202120343186208,0.9568562961440293
7,0.019253792600608315,0.11880737207583245,0.9601553130964895
8,0.023070143530776084,0.21346522127555695,0.9366218097242416
9,0.04676517530908921,0.16024700655842458,0.9268106514008153
10,0.0357031182039601,0.14727557726845836,0.9368574456809751
11,0.019293101629612848,0.11877604717055694,0.9578329882677709
12,0.013683753941983916,0.1395757393233034,0.9692058617989154
13,0.021199646151667376,0.12046669907127784,0.9457504222798995
14,0.017493889646645555,0.1743101884197715,0.9394412653244332
15,0.01463097846104515,0.13330683694375273,0.9468751486442821
16,0.014773878445185806,0.1302973847120803,0.9545137695082078
17,0.02380522797584375,0.2164542299035369,0.9357508587724416
