epoch,train_loss,validation_loss,validation_macro_f1
1,0.2659487279450505,0.175582711072947,0.8407595782595783
2,0.09325507784873267,0.192082047265097,0.8935217043756299
3,0.062382896897381176,0.20145777400755724,0.8918278863559301
4,0.054219747840842644,0.21322400423864654,0.9462855067110465
5,0.04577659189710995,0.16296656459372566,0.9219506515343351
6,0.044676310587265414,0.11298336532731719,0.9506921425427368
7,0.02716152790589326,0.11848596073933784,0.948023231031543
8,0.02604838250005396,0.16874425221752648,0.9439466489401623
9,0.02367647114152204,0.1458985662420854,0.9439151170708823
10,0.015887307436890152,0.15616933823816034,0.9260087465269908
11,0.0135885804720565,0.17655803450685464,0.9387666720150101
