epoch,train_loss,validation_loss,validation_macro_f1
1,0.3339877277910263,0.18028750798560136,0.8848297470891299
2,0.21158794030599218,0.15932902595065287,0.9281146511362338
3,0.1859721257813978,0.14540399798494302,0.9270241413573533
4,0.16880498176298317,0.423063807140123,0.8299641235421052
5,0.14758446468556458,0.17421180483521215,0.9313998047495265
6,0.1168645998045497,0.13458036078719904,0.9246427942757197
7,0.12395791793116556,0.1074483674883053,0.9639477987304074
8,0.097624969737966,0.22833873084838816,0.8896796252774514
9,0.08602894617582164,0.12958277169837068,0.9381221688067539
10,0.0923553790471224,0.19443005520776407,0.9207020272636767
11,0.07300750772025635,0.15161176440336846,0.9474798163707927
12,0.0485613662465901,0.20537334009511582,0.9356575330839388
