epoch,train_loss,validation_loss,validation_macro_f1
1,0.4339857240632005,0.14306185498142873,0.9110219845513964
2,0.2593959094998364,0.13457438961559573,0.930515004467972
3,0.1872647168543478,0.15772530890458467,0.9168515157625864
4,0.17889574830733235,0.14846568707598756,0.9201583940694649
5,0.13966948851846303,0.12075610720361306,0.9428545489564216
6,0.10498412211597175,0.1082304378613731,0.9641339694747085
7,0.06866486699757907,0.12006651437440455,0.9480209788793714
8,0.061711036693630254,0.11099375029470747,0.9653133830963397
9,0.047320913923304495,0.1486175994801995,0.9547463825639576
10,0.03763863247555611,0.13470769273918987,0.9525376877261976
11,0.07655445083462471,0.19031594575240912,0.9262909292760039
12,0.10791441619664029,0.15581679220823264,0.9368576129797573
13,0.053741123508689884,0.13174439094565957,0.9578851204750486
