epoch,train_loss,validation_loss,validation_macro_f1
1,0.27928581168011196,0.18237072466225024,0.8599433180728145
2,0.19252900452656682,0.2625073040558013,0.8889200823507393
3,0.16643161655841204,0.16678597042892154,0.8970318762187534
4,0.14388203032452407,0.18021679773235952,0.8673346607746435
5,0.13069305453994426,0.117873596631928,0.9482141279597013
6,0.1052098226023506,0.14339827188592874,0.9249834766103477
7,0.10220406837928789,0.15925875444285917,0.9303944078779529
8,0.08292112190739488,0.11182244191106581,0.9371181438298121
9,0.09279128935148998,0.11900993170130332,0.9501835168501834
10,0.07512872393651718,0.2363040873546474,0.9212010660829558
11,0.08292715079223163,0.16303000831051379,0.9364738009899299
12,0.07733999462393719,0.16014153831052463,0.9306038926213914
13,0.062241482623739804,0.12206612833288331,0.9552372647336677
14,0.061482649614557405,0.17702703010167506,0.927950451401044
15,0.05660671934567269,0.24009625880134028,0.921344663399715
16,0.05678655701692677,0.15770156336146474,0.9280566263053914
17,0.05060963751864445,0.1905162065037039,0.9519576894974936
18,0.05720743549038217,0.3596567286560867,0.8615656858426285
